home_score,away_score,home_team_id,away_team_id,description
0,0,Empoli,Torino,Empoli vs Torino
1,0,Lazio,Parma,Lazio vs Parma
3,1,Livorno,Sampdoria,Livorno vs Sampdoria
2,0,Napoli,Catania,Napoli vs Catania
0,0,Reggina,Fiorentina,Reggina vs Fiorentina
2,0,Udinese,Robur Siena,Udinese vs Robur Siena
5,0,Juventus,Palermo,Juventus vs Palermo
3,0,Sampdoria,Reggina,Sampdoria vs Reggina
0,0,Milan,Juventus,Milan vs Juventus
5,1,Atalanta,Napoli,Atalanta vs Napoli
0,0,Cagliari,Livorno,Cagliari vs Livorno
3,1,Catania,Palermo,Catania vs Palermo
0,2,Fiorentina,Internazionale,Fiorentina vs Internazionale
1,0,Parma,Empoli,Parma vs Empoli
2,1,Roma,Udinese,Roma vs Udinese
1,1,Robur Siena,Lazio,Robur Siena vs Lazio
1,1,Torino,Genoa,Torino vs Genoa
2,0,Lazio,Catania,Lazio vs Catania
2,0,Palermo,Fiorentina,Palermo vs Fiorentina
4,1,Empoli,Cagliari,Empoli vs Cagliari
1,3,Genoa,Robur Siena,Genoa vs Robur Siena
4,0,Internazionale,Torino,Internazionale vs Torino
1,0,Juventus,Atalanta,Juventus vs Atalanta
1,1,Livorno,Roma,Livorno vs Roma
3,2,Udinese,Sampdoria,Udinese vs Sampdoria
1,0,Napoli,Parma,Napoli vs Parma
0,1,Reggina,Milan,Reggina vs Milan
2,0,Catania,Udinese,Catania vs Udinese
2,3,Lazio,Juventus,Lazio vs Juventus
1,3,Atalanta,Palermo,Atalanta vs Palermo
1,1,Empoli,Genoa,Empoli vs Genoa
3,0,Parma,Reggina,Parma vs Reggina
2,2,Sampdoria,Fiorentina,Sampdoria vs Fiorentina
1,1,Robur Siena,Napoli,Robur Siena vs Napoli
0,0,Torino,Roma,Torino vs Roma
0,2,Cagliari,Internazionale,Cagliari vs Internazionale
1,1,Milan,Livorno,Milan vs Livorno
1,0,Genoa,Parma,Genoa vs Parma
2,0,Roma,Sampdoria,Roma vs Sampdoria
5,1,Fiorentina,Cagliari,Fiorentina vs Cagliari
2,1,Internazionale,Milan,Internazionale vs Milan
2,0,Juventus,Robur Siena,Juventus vs Robur Siena
1,1,Livorno,Atalanta,Livorno vs Atalanta
1,1,Napoli,Torino,Napoli vs Torino
2,2,Palermo,Lazio,Palermo vs Lazio
3,1,Reggina,Catania,Reggina vs Catania
2,2,Udinese,Empoli,Udinese vs Empoli
1,1,Empoli,Reggina,Empoli vs Reggina
1,1,Catania,Juventus,Catania vs Juventus
1,2,Atalanta,Roma,Atalanta vs Roma
0,1,Cagliari,Udinese,Cagliari vs Udinese
1,2,Lazio,Genoa,Lazio vs Genoa
1,2,Parma,Fiorentina,Parma vs Fiorentina
3,0,Sampdoria,Palermo,Sampdoria vs Palermo
2,3,Robur Siena,Internazionale,Robur Siena vs Internazionale
